text,label,language
Sizoqhubeka nokukhulumisana namazwe angabo makhelwane sibabili noma sibaningi kanye nenhlangano yobumbano yaseYuropu siholwa yinhlangano yobumbano lweAfrika ( AU ) ukuze siqinisekise ukuthi izivumelwano zobambiswano kwezomnotho ziyaqedelelwa masishane ukuze siphangisise intuthuko yesifunda sethu .,0,isiZulu
"Kodwa , uMnyango uzawubheka ukwethula ngumnikezeli wezinsiza ukuze athole olunye ukhetho lokukhokhelwa .",0,isiZulu
"UQuincy wakhulela elokishini elincane lase-Wentworth , eNingizimu neTheku , kanti wayefuna ukuba wumlingisi kusukela emncane .",0,isiZulu
Abantu bendawo wabona inyoni kanye ne-ibhodwe esikoleni saseMthatha ngenhlonipho ephelele eholidini eledlule.,1,isiZulu
Lesi sigaba sibonakala sinika Izinkantolo zoMantshi amandla okubuyekeza isahlulelo senkantolo yendabuko .,0,isiZulu
Shaka : Bathatheni laba abanye baye kwagoqanyawo .,0,isiZulu
Sizoqhubeka nokuphucula ubudlelwano namazwe athuthukile kubandakanya i-G8 kanye nozakwethu beNhlangano yamaZwe aseYurophu .,0,isiZulu
Mthethosisekelo wethu kanye noSomqulu Wamalungelo owenze kwaba lula ukuthi sivivinye imithetho ukuze uxhaso kwezezindlu lufinyelele nakulabo abathintwe yisifo .,0,isiZulu
a thengisa noma asule ukulahlekelwa yimali noma ukuntuleka okumayelana nempahla ; noma b avumele ukusentshenziswa kwanoma yiyiphi impahla ephathekayo etholakele ukuze kuphunyeleliswe yinoma imuphi umthetho ngaphansi kwemibandela engamiswa uMqondisi-Jikelele .,0,isiZulu
Ukuguquguqula isiphawulo ekusisebenziseni ( isib . abafana abakhulu / Abafana abakhulukazi ),0,isiZulu
Izifundo zikaPastor Dube wathandazela emhlanganweni waseSoweto ezinsukwini eziyishumi ezedlule.,1,isiZulu
"a ophethwe ngaphambi kokuqala kwalo Mthetho nongabhalisiwe ngaphansi kweminye yemithetho kufanele ubhaliswe zingakapheli izinyanga eziyishumi nambili ngemuva kokuqala kwawo noma singakapheli isikhathi esinganqunywa nguNgqongqoshe , izikhathi ngezikhathi kwiSaziso seGazethe ; noma b ophethwe ngemuva kokuqala kwalo Mthetho kufanele ubhaliswe zingakapheli izinyanga ezintathu ngemuva kosoku lomshado noma ngesikhathi eside esimiswe nguNgqongqoshe ngesaziso seGazethe .",0,isiZulu
"Uyangizwa Mveli ! """,0,isiZulu
Isifundo sikaProf Mthembu uSipho lwafakwa imiphumela yokuhlolwa ngo-2023 ngokwemigomo ye-Act 53.,1,isiZulu
"Umnyango wezaBasebenzi ushaye umthetho omusha , ikakhulu weMboni yamaWulisela neZitolo .",0,isiZulu
"Ngaphandle , kwamacala abalwe esigabeni- 19.6.1.4 nesigaba -19.6.1 .",0,isiZulu
Abantu bendawo wasebenzisa ihhashi kanye ne-isambulela esibhedlela esiseduze ngendlela ecacile nenembayo ngemuva kwesikhathi eside.,1,isiZulu
Ucingo oluvela ku uSipho lwasetshenziswa indlela yokubala izindleko ngo-2024 ngokwemigomo ye-Act 53.,1,isiZulu
Izifundo zikaPastor Dube wakhuluma ngemfundiso kaThixo ezinsukwini eziyishumi ezedlule.,1,isiZulu
Ukuphepha kwezwe kulawulwa yiPhalamende nomkhandlu ophethe kuzwelonke .,0,isiZulu
"c nomthetho kamasipala , kuyomukelwa umthetho omncane oshaywe ngaphansi kwalo Mthetho .",0,isiZulu
Isisebenzi esiqavile wahlola inyamazane kanye ne-ithebula emapulazini aseKwaMashu njengoba kuchaziwe ngaphambilini eholidini eledlule.,1,isiZulu
Inkulumo yobuKristu wahlanganisa abalandeli kuhlelo lokuhlengwa ngaphansi kwengalo kaNkulunkulu.,1,isiZulu
"Nathi siyizakhamizi zezwe "" elabe seliseduze kakhulu nokuzibhubhisa """,0,isiZulu
Uprofesa wakwaZulu wahlela inyamazane kanye ne-ibhayisikili ehhovisi elikhulu ngezinjongo zokuthuthukisa ulwazi eholidini eledlule.,1,isiZulu
"Isigaba 10 soMthetho ngqangi siyachitshiyelwa lapha ngokufakwa esikhundleni samazwi "" isigaba 6 "" esigatshaneni noma ikuphi lapho okwenzeka khona emazwini "" isigaba 6 """,0,isiZulu
Kufanele ubonise usuku ofisa ukujoyina ngalo u-GEMS eSigabeni D seFomu lesicelo .,0,isiZulu
Ukuhlolwa kwangempela lwamemezela imiphumela yokuhlolwa unyaka odlule emhlanganweni wabaphathi abakhulu.,1,isiZulu
Uphenyo lwesayensi kuxhumanise ubuchwepheshe obusetshenziswa ezifundweni ngokwesivumelwano esibhalwe phansi.,1,isiZulu
Abaxhumanisi bephrojekthi kuphakamise amathuba okuhlola izindlela ezintsha ngokuhambisana nesikhathi.,1,isiZulu
Isimemezelo sikahulumeni lwavunywa amarekhodi aphathelene nezicelo ngeSonto eledlule emhlanganweni wesifunda.,1,isiZulu
"Ngacishe ngakhohlwa , tshela mina , utheni uBasolile uma umazisa ngomshado wakho ?",0,isiZulu
Ucingo oluvela ku uSipho luhlaziywe ulwazi lwezindaba zakamuva izinsuku eziyishumi kusukela ngoJanuwari.,1,isiZulu
ubulawe ushevu obeba isikhaftini somfundi,0,isiZulu
Kusobala ukuthi izinzuzo zezwe ngalinye lase-Afrika nesifundazwe ziyonquma ukuthi yiziphi izinto ezibalulekile eziyogxila kuzo .,0,isiZulu
Umfundisi waphawula ngezinkolelo emithandazweni yomphakathi ezinsukwini eziyishumi ezedlule.,1,isiZulu
Umphathi wepulazi wahlola ingulube kanye ne-ibhodwe ehhovisi elikhulu ngezinjongo zokuthuthukisa ulwazi ngaphakathi kwekilasi.,1,isiZulu
Ivangeli likaJesu wathumela umyalezo kuvangeli olutsha ngokuhlanganyela nabakhulekeli.,1,isiZulu
Izinqubo ezihlongozwe kuHlelo 1 kufanele zibandakanywe ekuthuthukisweni komhlaba ongaphandle kwendawo yesikimu .,0,isiZulu
Ukudobela ukuzilibazisa wokuthi abantu bahambe bayodoba izinhlanzi emanzini angewona ase-South Africa bengaqonde ukuzithengisa .,0,isiZulu
Abamoshi babhala igama Umbulali ngopende ezindongeni zeKwamuhle Myuziyamu kaMasipala weTheku .,0,isiZulu
"Nakuba ngangingekho lapha ngesikhathi sobandlululo , njenomuntu ovela kwelinye lamazwe ayebusa lapha , ngicabanga ukuthi ngazuza ngengcebo elaseFrance elayithola ngokwephula amalungelo abantu afanayo .",0,isiZulu
Uthisha uxhumane indlela yokusebenza entsha ngokuhambisana nezimiso.,1,isiZulu
Abaxhumanisi bephrojekthi kubonise umgomo omusha ngendlela engaguquki.,1,isiZulu
"Ukuze ufeze izidingo zeSikhungo , uMkhandlu unga .",0,isiZulu
Umfundi uhlaziye inkulumo mayelana necebo ngaphambi kokuphela kwesonto.,1,isiZulu
""" Maye Mveli waphonse wangibulala ngensini ngokungikhumbuza leso sehlakalo esabopha yonke inkundla , "" asho esula izinyembezi uMfaniseni , emukela izincwadi endodeni , ezibeka etafuleni likaMveli .",0,isiZulu
Izikhulu zikahulumeni kwatholakale uhlelo lwezokuxhumana ngokuhambisana nesikhathi.,1,isiZulu
Ukuhlolwa kwangempela uLungelo luhlaziywe umhlahlandlela womthetho amaviki amabili ngenhloso yokwenza lula izinto.,1,isiZulu
Uthisha waseNanda wanikeza impisi kanye ne-umshini wokupheka endaweni yomphakathi ngendlela ecacile nenembayo ebusika ngo-2023.,1,isiZulu
"Ungqongqoshe angabeka namandla nemisebenzi ka-Director-General , u-Registratin IHhovisir ( umbhalisi wezinkampani ) , i-asosiyeshini , amalunga noma abanye abathintekayo kulezi zimo .",0,isiZulu
Ukuhlolwa kwangempela luhlelwe amagama ababhali amaviki amabili phambi kwekomidi.,1,isiZulu
Emva kwesikhashana lokho kwenzekile umsolwa watholwa efile eduze ne-River Park .,0,isiZulu
a Ilungu loMkhandlu owengamele amaPhayiphi athwala iPhethroliyamu liyoba sesikhundleni isikhathi esiyiminyaka emine .,0,isiZulu
Uthisha wakhipha ubufakazi besifundo ngaphandle kwezinkinga.,1,isiZulu
Abakhulekeli wamemezela ezindleleni zokuphila ezingcwele ngaphansi kwengalo kaNkulunkulu.,1,isiZulu
Ukusebenzisa indlela yokushiya izikhala ukuthi ofundayo aqedele ( Isib .,0,isiZulu
"Uhlale ethikazisa / akalaleli Qhubeka nokukhuluma usebenzise izinkomba ngokuziphathaisibonelo , ' uma unginika ithuba lokuqedela ' Mcele ngesizotha lowomuntu ukuthi angaphazamisi .",0,isiZulu
Ukuhlanganisa umbiko ofingqiwe wemisebenzi yokuthuthukisa umnotho wendawo ( LED ) neminye imisebenzi eyingxenye yaleyo edwetshiwe .,0,isiZulu
Inkulumo yobuKristu waphawula ngezinkolelo emathandweni angcwele ngokwesikhathi esinqunyiwe.,1,isiZulu
Iphrojekthi entsha ucwaninge umbiko wesifundo esisha njengoba bekulindelekile.,1,isiZulu
"Ngiyathokoza ukuba lapha namhlanje ukuze ngidlulisele ukuhalalisela ngimele Uhulumeni waseNingizimu Afrika , kunina nonke bantu base-Cameroon Ngemigubho Yosuku Lukazwelonke .",0,isiZulu
Uhulumeni uhlaziye umbiko wesifundo esisha ngezinsuku ezintathu ezedlule.,1,isiZulu
Umfundi omusha wabona ihhashi kanye ne-ikhabethe endaweni yomphakathi ngenhlonipho ephelele ngemuva kwesikhathi eside.,1,isiZulu
Isisebenzi esiqavile waklame ibhubesi kanye ne-ibhayisikili endaweni yomphakathi ngendlela ecacile nenembayo ngemuva kwesikhathi eside.,1,isiZulu
Isisebenzi uqale umsebenzi wephrojekthi emhlanganweni obalulekile.,1,isiZulu
Isifundo sikaProf Mthembu lwavunywa amagama ababhali ngo-2024 ngesicelo sikaNkk Zuma.,1,isiZulu
Uphenyo lwezibalo lwasetshenziswa imiphumela yokuhlolwa amaviki amabili emhlanganweni wabaphathi abakhulu.,1,isiZulu
uhlaudi ucele ukuthi kuthandazelwe umvikeli womphakathi,0,isiZulu
Isikole uhlaziye inkulumo mayelana necebo ngezinsuku ezintathu ezedlule.,1,isiZulu
Umbiko wango lwakhiwe ulwazi lwezindaba zakamuva unyaka odlule ngokwesicelo esisemthethweni.,1,isiZulu
Ivangeli likaJesu wamemezela ngemfundiso kaThixo ngeSonto ekuseni.,1,isiZulu
Isikhulu ucwaninge ulwazi olusha oluqukethwe ebhukwini ngokuhambisana nezimiso.,1,isiZulu
"Ngokulandela isigaba so- 1 ( d ) Somthetho Wokulandelayo Uma Kungekho Ncwadi Yokwaba Ifa , Izinga lobuhlobo ngaphakathi kwezihlobo zegazi zoshonile noshonile kungahlukaniswa amaqembu amabili , okungukuthi izinga lobuhlobo kukuhlobana okuqondile kanye nezinga lobuhlobo kukuhlobama okubhangqeneyo .",0,isiZulu
Umthandazo wabafundi wahlela umsebenzi womoya ezindleleni zokuphila ezingcwele njengokwesimemezelo sabefundisi.,1,isiZulu
Uthisha uqale uhlelo lwesikole olusha njengoba bekulindelekile.,1,isiZulu
Ukuhlolwa kwangempela lwakhiwe uhlu lwezinqubomgomo ezintsha ngo-2023 emhlanganweni kaMasipala.,1,isiZulu
UMasipala wase-Mthatha umemezele inqubomgomo yentuthuko phambi kwesonto.,1,isiZulu
Isifingqo sencazelo yoMthethosivivinywa naso sashicilelwa ngefuze lokuthola imibono kwiGazethe ngoMhlaka 13 Agasti 2003 .,0,isiZulu
Isisebenzi uhlaziye umsebenzi wephrojekthi ngaphandle kwezinkinga.,1,isiZulu
Iphrojekthi entsha wenze inqubomgomo yomphakathi ngenhloso yokuthuthukisa ulwazi.,1,isiZulu
"UMongameli Mandela wabumba leli lizwe ngaphansi kwephupho elilodwa leNingizimu Afrika engabandlululi ngokobulili , ngokobuhlanga , enentando yeningi futhi eqhakazile .",0,isiZulu
Isifundo sikaProf Mthembu lwavunywa ulwazi lwezindaba zakamuva ngenyanga edlule emhlanganweni wabaphathi abakhulu.,1,isiZulu
"Ngiyacabanga kukhona okungalungile kumfowethu MaMkhize , kumbe yiloya msebenzi wokumbuyisa ekhaya awukhalelayo ukuthi awenziwanga ngendlela .",0,isiZulu
Uprofesa wakwaZulu wafundisa ihhashi kanye ne-ibhayisikili eholweni labafundi ngendlela ecacile nenembayo eholidini eledlule.,1,isiZulu
Caller : Uthi ngithini kuye bhuti Solly ?,0,isiZulu
Icala elibhalwe ngo-2024 lwavunywa ulwazi oludingekayo ngeSonto eledlule emhlanganweni wabaphathi abakhulu.,1,isiZulu
Inhlangano kazwelonke kwethule umgomo omusha ngezinga eliyanelisayo.,1,isiZulu
Ukuhlolwa kwangempela luhlaziywe amagama ababhali amaviki amabili emhlanganweni wesifunda.,1,isiZulu
Watholakala enemoto yohlobo lwe-Opel Monza entshontshiwe .,0,isiZulu
undunankulu ukhuthazwe imibono,0,isiZulu
Uphenyo lwakamuva wakhipha uhlolo olubalulekile ngaphandle kwezinkinga.,1,isiZulu
c azisebenzi emshadweni wendabuko obhaliswe ngaphansi koMthetho Omukela Imishado yeNdabuko ka 1998 Umthetho 120 ka 1998 .,0,isiZulu
Isikhungo kwethule umbiko wokugcina ngokuhambisana nesikhathi.,1,isiZulu
Ngicabanga ukuthi kwasukela maphakathi neminyaka yamashumi ayisikhombisa kuze kube ngesikhathi uDkt Erasmus eya eKhanada .,0,isiZulu
UMnyango uzokwenza isethulo kuhulumeni ofanele ukuze baxolele izakhamizi zaseNingizimu Afrika ngaphandle kwemibandela uma sezigulela ukufa .,0,isiZulu
UMkhandlu weZempilo ka Zwelonke ungasungula ikomidi eyodwa noma amabili ukuthi ayeluleke nganoma yiluphi udaba .,0,isiZulu
Ngaphambi kokuthi bavalelwe uMfaniseni wazama ukuthinta uMveli ngocingo emva kokucela emaphoyiseni kodwa kwaba nhlanga zimuka nomoya ngoba lwalungangeni .,0,isiZulu
Kanti lokhu kwenza ukuba isinqumo seFERREIRA sizwakale njengokusho kukaMnu Vally .,0,isiZulu
Inkolo yesintu wahlela umsebenzi womoya emhlanganweni waseSoweto njengokwesimemezelo sabefundisi.,1,isiZulu
Ivangeli likaJesu wahlanganisa abalandeli emhlanganweni wango-2023 njengoba bekubhalwe encwadini.,1,isiZulu
Inkolo yesintu wavumelana nabafundi kuvangeli olutsha ngeSonto ekuseni.,1,isiZulu
iphithene amakhanda imndeni yabababoshwe ngelezidakamizwa e us,0,isiZulu
Isifundo sikaProf Mthembu uLungelo luchaze uhlelo lokulawulwa kwezinhlelo ngo-2023 emhlanganweni kaMasipala.,1,isiZulu
"Le mithethonkambiso isungula izidingo zokuvikela ezithile zokuqhuba imisebenzi yasolwandle , okudingeka labo bantu abambandakanyekayo kuleyo misebenzi bazigcine lezo zibopho .",0,isiZulu
"Lapho umsindo ufika ku90 dB noma ngaphezulu , beka izimpawu ezikhombisa ukuthi lena "" yindawo okumele kuvikelwe amadlebe kuyo "" ukuze uqinisekise ukuthi bonke abantu abangena khona bayazivikela .",0,isiZulu
Isimemezelo esisemthethweni uLungelo luchaze ulwazi lwezindaba zakamuva ngeSonto eledlule emhlanganweni wabaphathi abakhulu.,1,isiZulu
Uphenyo lwezibalo lwafakwa amagama ababhali unyaka odlule ngenhloso yokwenza lula izinto.,1,isiZulu
"a Ngokwezinhloso zokuqinisekisa noma yiluphi udaba olumayelana nophenyo , iBhodi linegunya lokubiza ofakazi , lokwenza ukuba bathathiswe isifungo noma bavunyiswe , lokubahlola , kanye nokucela ukuthi kukhishwe izincwadi , imibhalo nezinto .",0,isiZulu
Umhlangano wamaKrestu wahlela umsebenzi womoya emithandazweni yomphakathi njengoba bekubhalwe encwadini.,1,isiZulu
Abaholi bezemfundo kwatholakale indlela yokuphatha kahle emhlanganweni wamahhala.,1,isiZulu
Nginethemba elikhulu lokuthi sizokwazi ukususa konke ukungathathwa kahle kohlelo ngokuphathelene Nokuklanywa kwezindawo nguhulumeni wendawo .,0,isiZulu
bavunyelwa abakwagupta ukuwaka,0,isiZulu
"Uphiko olubhekene nosomabhizinisi abancane iTargeted Enterprises Unit , lwasungulwa kulomnyango ngenhloso yokuqinisekisa ukuthi amabhizinisi aphethwe ngabantu abamnyama abamba iqhaza elisemqoka emisebenzini ethengwa nguhulumeni ngenhloso yokwehlisa izinga lobubha kulesisifundazwe kanye nokuthuthukisa isimo sezempilo kanye nokwakha ikusasa eliphephile neliqhakazile .",0,isiZulu
Kumele sigcizelele ukuthi impumelelo yeNEPAD ingokokuqala nokusemqoka ukuncika kubantu base-Afrika ngokwabo .,0,isiZulu
